>>> p1.simul_run(1200, 30)
Trading: [Ticker: JETS, Value: 4007.3391494750977, Amount: 0] for 1200 seconds
Trading: [Ticker: SPY, Value: 4003.478240966797, Amount: 2.0] for 1200 seconds
Trading: [Ticker: AAPL, Value: 4005.309844970703, Amount: 6.0] for 1200 seconds
Trading: [Ticker: FMCC, Value: 4005.0249952077866, Amount: 380.0] for 1200 seconds
JETS, BUY 75.0, 16.225000381469727, 4007.3391494750977, 12:32:17, 2790.464120864868, 75.0 shares
AAPL, SELL 4.0, 369.6199951171875, 3992.589874267578, 12:32:17, 3253.349884033203, 2.0 shares
SPY, SELL 3.0, 322.0, 4002.0182189941406, 12:32:17, 4002.0182189941406, 0 shares
JETS, SELL 75.0, 16.229999542236328, 4007.714086532593, 12:32:48, 4007.714086532593, 0.0 shares
FMCC, SELL 620.0, 2.015000104904175, 4012.625033259392, 12:32:48, 4012.625033259392, 0 shares
AAPL, BUY 2.0, 369.44000244140625, 3992.2298889160156, 12:32:48, 2514.4698791503906, 4.0 shares
SPY, BUY 1.0, 321.8399963378906, 4002.0182189941406, 12:32:48, 3680.17822265625, 1.0 shares
JETS, BUY 75.0, 16.219999313354492, 4007.714086532593, 12:33:19, 2791.214138031006, 75.0 shares
SPY, SELL 3.0, 321.94000244140625, 4002.1182250976562, 12:33:19, 4002.1182250976562, 0 shares
JETS, SELL 75.0, 16.229999542236328, 4008.4641036987305, 12:33:49, 4008.4641036987305, 0.0 shares
FMCC, BUY 620.0, 2.009999990463257, 4012.625033259392, 12:33:49, 2766.4250391721725, 620.0 shares
FMCC, SELL 615.0, 2.0199999809265137, 4018.825027346611, 12:34:20, 4008.7250274419785, 5.0 shares
AAPL, SELL 4.0, 370.2799987792969, 3995.589874267578, 12:34:21, 3995.589874267578, 0.0 shares
FMCC, SELL 615.0, 2.0299999713897705, 4018.8750272989273, 12:35:21, 4018.8750272989273, 0 shares
AAPL, BUY 4.0, 369.70001220703125, 3995.589874267578, 12:35:53, 2516.789825439453, 4.0 shares
SPY, BUY 4.0, 322.29998779296875, 4002.1182250976562, 12:35:54, 2712.9182739257812, 4.0 shares
AAPL, SELL 2.0, 369.79998779296875, 3995.989776611328, 12:36:24, 3256.3898010253906, 2.0 shares
JETS, BUY 60.0, 16.2549991607666, 4008.4641036987305, 12:36:24, 3033.1641540527344, 60.0 shares
SPY, SELL 1.0, 322.4100036621094, 4002.5582885742188, 12:36:25, 3035.3282775878906, 3.0 shares
JETS, BUY 60.0, 16.24690055847168, 4007.978187561035, 12:36:55, 2058.3501205444336, 120.0 shares
AAPL, SELL 3.0, 370.2149963378906, 3996.819793701172, 12:37:25, 3996.819793701172, 0 shares
SPY, SELL 2.0, 322.6199951171875, 4003.188262939453, 12:37:26, 3680.5682678222656, 1.0 shares
JETS, SELL 75.0, 16.260000228881836, 4009.550148010254, 12:37:27, 3277.8501377105713, 45.0 shares
JETS, BUY 75.0, 16.250099182128906, 4009.104600906372, 12:37:58, 2059.0926990509033, 120.0 shares
FMCC, BUY 615.0, 2.0299999713897705, 4018.8750272989273, 12:38:27, 2770.4250448942184, 615.0 shares
JETS, SELL 60.0, 16.280000686645508, 4012.6927814483643, 12:38:28, 3035.892740249634, 60.0 shares
SPY, SELL 2.0, 322.82000732421875, 4003.3882751464844, 12:38:28, 4003.3882751464844, 0 shares
JETS, BUY 75.0, 16.2549991607666, 4011.19268989563, 12:38:59, 1816.7678031921387, 135.0 shares
SPY, BUY 2.0, 322.8299865722656, 4003.3882751464844, 12:39:31, 3357.728302001953, 2.0 shares
AAPL, BUY 3.0, 370.7237854003906, 3996.819793701172, 12:39:59, 2884.6484375, 3.0 shares
SPY, BUY 2.0, 322.5899963378906, 4002.9082946777344, 12:40:02, 2712.548309326172, 4.0 shares
AAPL, BUY 1.0, 370.42999267578125, 3995.9384155273438, 12:40:30, 2514.2184448242188, 4.0 shares
SPY, SELL 1.0, 322.6700134277344, 4003.2283630371094, 12:40:33, 3035.2183227539062, 3.0 shares
JETS, SELL 60.0, 16.280000686645508, 4014.567895889282, 12:40:33, 2793.567844390869, 75.0 shares
AAPL, SELL 3.0, 370.75, 3997.2184448242188, 12:41:01, 3626.4684448242188, 1.0 shares
SPY, SELL 1.0, 322.7300109863281, 4003.4083557128906, 12:41:04, 3357.9483337402344, 2.0 shares
AAPL, BUY 4.0, 370.6300048828125, 3997.0984497070312, 12:41:32, 2143.9484252929688, 5.0 shares
FMCC, SELL 615.0, 2.0334999561309814, 4021.027517914772, 12:41:32, 4021.027517914772, 0.0 shares
JETS, BUY 75.0, 16.270000457763672, 4013.8178787231445, 12:41:35, 1573.3178100585938, 150.0 shares
AAPL, SELL 4.0, 371.10931396484375, 3999.4949951171875, 12:42:03, 3628.3856811523438, 1.0 shares
JETS, SELL 60.0, 16.28499984741211, 4016.06778717041, 12:42:05, 2550.4178009033203, 90.0 shares
SPY, SELL 3.0, 322.8800048828125, 4003.7083435058594, 12:42:06, 4003.7083435058594, 0 shares
FMCC, BUY 492.0, 2.0299999713897705, 4021.027517914772, 12:42:34, 3022.267531991005, 492.0 shares
