>>> stockbot("MSFT", 2700, 20, 33)
BUY, 205.5800018310547, 250, 12:02:25, 44.41999816894531
SELL, 205.6107940673828, 250.03079223632812, 12:03:32, 250.03079223632812
BUY, 205.82000732421875, 250.03079223632812, 12:06:05, 44.210784912109375
SELL, 205.86549377441406, 250.07627868652344, 12:06:26, 250.07627868652344
BUY, 205.8800048828125, 250.07627868652344, 12:06:49, 44.19627380371094
SELL, 205.84010314941406, 250.036376953125, 12:07:33, 250.036376953125
BUY, 205.92999267578125, 250.036376953125, 12:09:22, 44.10638427734375
SELL, 205.92999267578125, 250.036376953125, 12:09:44, 250.036376953125
BUY, 205.8300018310547, 250.036376953125, 12:10:06, 44.20637512207031
SELL, 205.91000366210938, 250.1163787841797, 12:10:28, 250.1163787841797
BUY, 205.92999267578125, 250.1163787841797, 12:11:34, 44.18638610839844
SELL, 205.9600067138672, 250.14639282226562, 12:11:56, 250.14639282226562
BUY, 205.91000366210938, 250.14639282226562, 12:12:18, 44.23638916015625
SELL, 205.7935028076172, 250.02989196777344, 12:13:23, 250.02989196777344
BUY, 205.91000366210938, 250.02989196777344, 12:15:55, 44.11988830566406
SELL, 205.8800048828125, 249.99989318847656, 12:17:22, 249.99989318847656
BUY, 205.9600067138672, 249.99989318847656, 12:20:16, 44.039886474609375
SELL, 205.97999572753906, 250.01988220214844, 12:20:38, 250.01988220214844
BUY, 206.10499572753906, 250.01988220214844, 12:22:34, 43.914886474609375
SELL, 206.13999938964844, 250.0548858642578, 12:22:56, 250.0548858642578
BUY, 206.07000732421875, 250.0548858642578, 12:23:44, 43.98487854003906
SELL, 206.17999267578125, 250.1648712158203, 12:24:06, 250.1648712158203
BUY, 206.1199951171875, 250.1648712158203, 12:24:49, 44.04487609863281
SELL, 206.13999938964844, 250.18487548828125, 12:25:11, 250.18487548828125
BUY, 206.10000610351562, 250.18487548828125, 12:25:54, 44.084869384765625
SELL, 206.1302032470703, 250.21507263183594, 12:26:38, 250.21507263183594
BUY, 206.2075958251953, 250.21507263183594, 12:30:14, 44.007476806640625
SELL, 206.2100067138672, 250.2174835205078, 12:30:36, 250.2174835205078
BUY, 206.14999389648438, 250.2174835205078, 12:30:58, 44.06748962402344
SELL, 206.0800018310547, 250.14749145507812, 12:32:04, 250.14749145507812
BUY, 206.2100067138672, 250.14749145507812, 12:32:48, 43.93748474121094
SELL, 206.27999877929688, 250.2174835205078, 12:33:31, 250.2174835205078
BUY, 206.22000122070312, 250.2174835205078, 12:33:52, 43.99748229980469
SELL, 206.2899932861328, 250.2874755859375, 12:34:14, 250.2874755859375
BUY, 206.13999938964844, 250.2874755859375, 12:34:58, 44.14747619628906
SELL, 205.9600067138672, 250.10748291015625, 12:37:10, 250.10748291015625
BUY, 205.88999938964844, 250.10748291015625, 12:37:32, 44.21748352050781
SELL, 205.89999389648438, 250.1174774169922, 12:38:16, 250.1174774169922
BUY, 205.9499969482422, 250.1174774169922, 12:40:26, 44.16748046875
SELL, 206.0500030517578, 250.2174835205078, 12:40:48, 250.2174835205078
BUY, 206.1300048828125, 250.2174835205078, 12:42:36, 44.08747863769531
SELL, 206.1199951171875, 250.2074737548828, 12:43:20, 250.2074737548828
BUY, 206.0749969482422, 250.2074737548828, 12:43:42, 44.132476806640625
SELL, 206.0500030517578, 250.18247985839844, 12:44:04, 250.18247985839844
BUY, 205.97000122070312, 250.18247985839844, 12:44:26, 44.21247863769531
SELL, 206.08999633789062, 250.30247497558594, 12:44:48, 250.30247497558594
BUY, 205.99000549316406, 250.30247497558594, 12:45:21, 44.312469482421875
SELL, 206.22000122070312, 250.532470703125, 12:46:05, 250.532470703125
BUY, 206.1750030517578, 250.532470703125, 12:46:49, 44.35746765136719
SELL, 206.22000122070312, 250.5774688720703, 12:47:11, 250.5774688720703
