>>> stockbot("MSFT", 2700, 20, 40)
BUY, 205.57000732421875, 250, 12:02:26, 44.42999267578125
SELL, 205.83009338378906, 250.2600860595703, 12:04:39, 250.2600860595703
BUY, 205.8300018310547, 250.2600860595703, 12:06:07, 44.430084228515625
SELL, 205.86549377441406, 250.2955780029297, 12:06:29, 250.2955780029297
BUY, 205.8000030517578, 250.2955780029297, 12:07:12, 44.495574951171875
SELL, 205.85000610351562, 250.3455810546875, 12:07:34, 250.3455810546875
BUY, 205.91000366210938, 250.3455810546875, 12:08:41, 44.435577392578125
SELL, 205.9499969482422, 250.3855743408203, 12:09:02, 250.3855743408203
BUY, 205.92999267578125, 250.3855743408203, 12:09:24, 44.45558166503906
SELL, 205.91000366210938, 250.36558532714844, 12:10:30, 250.36558532714844
BUY, 205.92999267578125, 250.36558532714844, 12:11:36, 44.43559265136719
SELL, 205.9499969482422, 250.38558959960938, 12:11:58, 250.38558959960938
BUY, 205.89999389648438, 250.38558959960938, 12:12:20, 44.485595703125
SELL, 205.76499938964844, 250.25059509277344, 12:13:25, 250.25059509277344
BUY, 205.9499969482422, 250.25059509277344, 12:15:14, 44.30059814453125
SELL, 205.8800048828125, 250.18060302734375, 12:17:25, 250.18060302734375
BUY, 205.8699951171875, 250.18060302734375, 12:17:47, 44.31060791015625
SELL, 205.9199981689453, 250.23060607910156, 12:18:30, 250.23060607910156
BUY, 205.9600067138672, 250.23060607910156, 12:20:19, 44.270599365234375
SELL, 206.0, 250.27059936523438, 12:20:42, 250.27059936523438
BUY, 206.125, 250.27059936523438, 12:23:15, 44.145599365234375
SELL, 206.16000366210938, 250.30560302734375, 12:24:20, 250.30560302734375
BUY, 206.13499450683594, 250.30560302734375, 12:25:47, 44.17060852050781
SELL, 206.14999389648438, 250.3206024169922, 12:26:52, 250.3206024169922
BUY, 206.28329467773438, 250.3206024169922, 12:29:45, 44.03730773925781
SELL, 206.2100067138672, 250.247314453125, 12:30:28, 250.247314453125
BUY, 206.1999969482422, 250.247314453125, 12:30:50, 44.04731750488281
SELL, 206.19000244140625, 250.23731994628906, 12:32:17, 250.23731994628906
BUY, 206.1999969482422, 250.23731994628906, 12:33:44, 44.037322998046875
SELL, 206.27999877929688, 250.31732177734375, 12:34:06, 250.31732177734375
BUY, 206.19000244140625, 250.31732177734375, 12:34:50, 44.1273193359375
SELL, 205.91000366210938, 250.03732299804688, 12:37:02, 250.03732299804688
BUY, 205.8800048828125, 250.03732299804688, 12:37:46, 44.157318115234375
SELL, 205.94000244140625, 250.09732055664062, 12:39:13, 250.09732055664062
BUY, 206.02000427246094, 250.09732055664062, 12:39:57, 44.07731628417969
SELL, 206.0, 250.0773162841797, 12:40:41, 250.0773162841797
BUY, 206.1999969482422, 250.0773162841797, 12:42:07, 43.8773193359375
SELL, 206.13999938964844, 250.01731872558594, 12:43:12, 250.01731872558594
BUY, 206.11680603027344, 250.01731872558594, 12:43:56, 43.9005126953125
SELL, 206.0500030517578, 249.9505157470703, 12:44:40, 249.9505157470703
BUY, 205.91000366210938, 249.9505157470703, 12:45:24, 44.04051208496094
SELL, 206.01019287109375, 250.0507049560547, 12:45:46, 250.0507049560547
BUY, 206.21499633789062, 250.0507049560547, 12:46:29, 43.83570861816406
SELL, 206.22000122070312, 250.0557098388672, 12:47:13, 250.0557098388672
